day,price,size,premium,premium*size,price*size,average,adjusted_size,weighted_price,weighted_average_premium,count,WAP_buy,WAP_sell,compound
2022-06-23,38.69500000000001,127.85,-0.0001291989664083,0.0120529715762251,4950.12725,38.7,127.85,38.71824208056316,9.427431815584824e-05,5,38.718242080563165,,0.17324333333333333
2022-06-24,39.58241935483871,20495.85,-3.3433070726779546e-05,0.462735584216594,813903.257,39.58373266129032,-18765.65,39.710636885027945,2.257703799630628e-05,62,39.49594497745925,39.7200980604409,0.2356693181818182
2022-06-25,39.646428571428565,21.9,0.0113684887971873,0.03839857575702,869.03375,39.20077500000001,16.5,39.68190639269406,0.0017533596236082,7,39.71873697916667,39.42,0.2356693181818182
2022-06-26,39.73357142857143,13.05,0.0135914769177757,0.0253844698952284,518.53575,39.20077500000001,13.05,39.734540229885056,0.001945170106914,7,39.734540229885056,,0.2356693181818182
2022-06-27,39.51,8.8,0.0089679403248195,0.0116990892334378,347.79375,39.158953125,4.6,39.52201704545454,0.0013294419583452,8,39.60910447761194,39.244166666666665,0.23748035714285715
2022-06-28,39.1675,9.0,0.0076861231709277,0.0210291043576134,353.08825,38.868750000000006,-8.799999999999999,39.23202777777778,0.0023365671508459,4,39.225,39.23210674157304,0.3353174418604651
2022-06-29,37.981219512195125,18820.05,0.0029609994619386,0.1362164344605085,710028.7342500001,37.86850304878049,16477.05,37.7272501534268,7.2378359494533e-06,41,37.70176098036382,38.11124242424242,0.31943846153846156
2022-06-30,37.491,4343.85,0.0023289554832334,0.2206748884402228,162815.06525,37.4039195,-1810.75,37.48174206061443,5.080168247987909e-05,50,37.25824937823221,37.57372680596627,0.28323245614035086
2022-07-01,37.33357142857143,503.15,-0.0104783583267427,-0.2341637475277739,18855.844,37.72881964285715,13.949999999999983,37.47559177183742,-0.0004653955033842,14,37.23764455617869,37.72710956663941,0.24270136986301372
2022-07-02,38.2625,4.45,0.0013739858675739,-0.0020577074064379,169.87725,38.21,-2.95,38.17466292134832,-0.0004624061587501,2,38.395,38.13,0.24270136986301372
2022-07-03,38.1925,0.15,-0.0004579952891913,-2.289976445956909e-05,5.72975,38.21,0.15,38.19833333333333,-0.0001526650963971,2,38.19833333333333,,0.24270136986301372
2022-07-04,38.01178571428572,266.95,-0.0051874976632893,-0.0390249373761532,10179.2835,38.21,-251.55,38.13179808952988,-0.0001461881902084,14,38.21207792207792,38.129413693346194,0.19022464788732396
2022-07-05,38.37214285714286,639.0,0.0047479317242416,0.3702508746879936,24503.26575,38.19135714285714,69.49999999999997,38.34626877934272,0.0005794223391048,7,38.267567395906845,38.44417910447761,0.2308472868217054
2022-07-06,38.254642857142855,421.4,0.0027782240844318,0.0565098026130527,16150.41175,38.14875952380952,180.4,38.32560927859516,0.0001341001485834,42,38.29239115985377,38.4085580912863,0.02670822622107969
2022-07-07,38.6178640776699,824.0500000000001,0.0054597789511072,0.0861540922291686,30963.59175,38.41747645631068,281.55000000000007,37.57489442388204,0.0001045495931426,103,37.42919862518091,37.871818433179726,0.21990067114093959
2022-07-08,35.70626582278481,2873.05,0.005817348220549,0.6729053795668515,102601.922,35.50574810126582,174.04999999999984,35.711846991872754,0.0002342129025136,79,35.046669128023375,36.462815301963694,0.042271906354515054
2022-07-09,34.94480769230769,552.6,0.0243238367963564,0.4774628237071475,19275.45375,34.114999999999995,-487.2,34.88138572204125,0.0008640297207874,26,35.02365443425077,34.87243748797846,0.042271906354515054
2022-07-10,34.896842105263154,337.05,0.0229178398142507,0.5230867730663356,11837.51775,34.114999999999995,237.15,35.120954606141524,0.0015519560096909,19,35.16825844653431,34.84906406406406,0.042271906354515054
2022-07-11,33.7781875,7571.5,0.0029219640686669,0.2817818839611207,258569.76375,33.6792390625,-148.50000000000009,34.15040134055339,3.7216124144637215e-05,80,34.446120369122994,33.86605906735751,0.14550169491525425
2022-07-12,33.28434782608696,837.6500000000001,0.0003794077854198,0.078389510322947,28429.60875,33.272778260869565,487.85,33.939722736226344,9.358265423858056e-05,23,34.24344436061863,32.78882790165808,0.15802666666666668
2022-07-13,35.7229375,11469.9,-0.0011421006889329,-0.1437177633319618,410651.26625,35.7629828125,-1556.1,35.80251495217918,-1.2529992705425666e-05,80,35.40348030018761,36.10621138492247,0.2279016666666667
2022-07-14,36.82475609756098,2676.15,-0.0015762588276903,0.0876998134960452,98906.6245,36.88426524390244,421.35,36.95855034284327,3.27708885884742e-05,41,37.07354140435835,36.800582978534685,0.24756159420289855
2022-07-15,37.254090909090905,1523.55,0.0001334230015744,0.0478114653273605,56628.9265,37.24896212121213,-1462.05,37.169063371730495,3.138161880303275e-05,33,37.04977235772358,37.1715206323687,0.3524040816326531
2022-07-16,37.595,561.2,-0.000398830098378,-0.3411346716298861,20978.43125,37.61,-554.4,37.38138141482537,-0.0006078664854417,10,37.79808823529412,37.37884143062029,0.3524040816326531
2022-07-17,37.53625,37.95,-0.0019609146503589,0.0058021470353631,1429.04525,37.61,15.35,37.65600131752305,0.0001528892499436,8,37.76513133208255,37.39862831858407,0.3524040816326531
2022-07-18,38.204470588235296,1905.1,0.0019349875549676,0.0302108523763032,71948.01875,38.130812647058825,-790.8000000000001,37.76600637761798,1.5857882723375783e-05,85,37.8572193305214,37.72830520419897,0.3379611111111111
2022-07-19,39.7112,17113.45,0.0008339018205571,0.0606800863630233,680972.11175,39.6783215,-43.64999999999979,39.79163241485498,3.545754150274981e-06,200,39.74088381234695,39.84212279464477,0.26661214285714285
2022-07-20,39.754411764705885,955.25,0.0012948353318275,0.0932224736067311,37987.29475,39.70324558823529,-793.35,39.766861816278464,9.758960859118671e-05,17,40.074589252625074,39.73836983872813,0.24273472222222223
2022-07-21,39.543703703703706,2195.1,0.0031304152266769,0.5392144621110805,86101.9405,39.421107407407405,-1124.2,39.22460958498474,0.0002456446002966,27,39.331371743393404,39.19016509505017,0.23966944444444443
2022-07-22,39.43142857142857,1802.9,0.0031830775259222,0.0194917460072021,71142.787,39.30738668831169,1342.3,39.46019579566254,1.0811329528649456e-05,77,39.65553430624444,38.12632978723404,0.1187
2022-07-23,40.03,0.6,0.0211734693877551,0.0063520408163265,24.018,39.2,0.0,40.03,0.0105867346938775,2,40.13,39.93,0.1187
2022-07-24,39.77272727272727,2789.7,0.0146103896103895,3.450466141001836,110844.081,39.2,-2298.0,39.73333369179482,0.0012368592110269,11,39.74512914378686,39.73219372211412,0.1187
2022-07-25,39.183,713.5,-0.0025946264320697,-0.4722004494573291,27933.68475,39.284995,-713.5,39.15022389628592,-0.0006618086187208,5,,39.15022389628592,0.28726736842105266
2022-07-26,39.27136363636364,2557.45,0.0002033223111712,0.0885147889624636,100367.34625,39.26329545454546,2555.75,39.24508641420165,3.461056480574933e-05,11,39.24514345224127,39.0735294117647,0.1914015625
2022-07-27,39.720625,22.450000000000003,-0.0004186303594718,-0.0032272712686317,886.19725,39.737715625,-18.450000000000003,39.47426503340757,-0.0001437537313421,8,39.64,39.458056234718825,0.08795526315789473
2022-07-28,40.38833333333333,125.15,-0.0024927262658317,-0.0885513776634423,5002.29,40.48835208333333,124.45,39.97035557331203,-0.0007075619469711,12,39.968343349358975,40.68785714285716,0.19795471698113207
2022-07-29,41.34666666666667,1408.15,0.0018122135390339,-0.4257475769478756,57566.97625,41.27191833333333,1406.05,40.88128129105564,-0.000302345330361,15,40.880803247814654,41.52190476190476,0.23263461538461538
